name,series,code,mer,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotia INNOVA Income Portfolio Class,A,BNS1330,1.99,,7.8,2.2,2.9,3.9,-1.2,6.5,4.2,2.3,-9.6,7.1
Scotia Money Market Fund,A,BNS357,0.8,,0.4,0.3,0.3,0.4,1.0,1.1,0.4,0.1,1.3,4.2
Scotia Partners Growth Portfolio Class,T,BNS1448,2.5,,,,,9.5,-3.8,14.9,8.4,10.3,-14.1,10.2
Scotia INNOVA Maximum Growth Portfolio,FT,BNS5434,1.22,,,,,,,,,,,12.6
Scotia Wealth Global Real Estate Pool,Pinnacle,PIN650,0.15,,24.1,20.3,0.7,2.3,2.2,16.4,-6.4,29.8,-21.9,9.2
Scotia INNOVA Maximum Growth Portfolio,A,BNS334,2.37,,9.6,7.8,4.4,8.1,-5.3,15.0,5.3,15.3,-11.5,11.3
Scotia Wealth Emerging Markets Pool,M,,0.95,,8.4,-3.6,3.4,28.0,-10.6,9.0,8.9,-3.4,-18.9,1.5
Scotia Mortgage Income Fund,F,BNS561,0.94,,1.7,1.4,1.6,1.7,2.8,2.6,2.2,1.1,0.2,3.5
Scotia INNOVA Growth Portfolio,FT,BNS5433,1.17,,,,,,,,,,,11.4
Scotia Wealth U.S. Large Cap Growth Pool,Pinnacle,PIN505,0.31,,27.7,37.4,-1.6,18.2,17.6,31.4,31.3,23.1,-33.1,35.4
Scotia Wealth Canadian Core Bond Pool,F,PIN1180,0.86,,,,,,,,,-3.0,-12.2,6.5
Scotia INNOVA Growth Portfolio Class,F,BNS51333,1.22,,,,,,,,,,,11.9
Scotia Partners Maximum Growth Portfolio,A,BNS349,2.52,,9.7,3.9,6.2,10.9,-4.8,16.9,8.8,13.5,-14.2,11.0
Scotia Wealth Strategic Balanced Pool,F,PIN1300,1.21,,7.1,-1.6,12.1,2.6,-2.9,11.7,1.1,13.2,-7.2,6.1
Scotia Wealth Floating Rate Income Pool,K,PIN6210,0.14,,,,,2.7,1.3,3.4,3.1,0.7,1.3,6.7
Scotia Wealth Global High Yield Pool,M,,0.42,,,,,,,14.4,3.1,2.3,-10.7,10.4
Scotia European Equity Fund,F,BNS576,1.5,,-6.7,23.1,-7.1,13.0,-12.7,20.8,12.8,11.6,-26.0,18.6
Scotia Wealth U.S. Dividend Pool,K,PIN6800,0.29,,,,,13.8,5.7,22.8,15.1,25.2,-2.0,19.0
Scotia Selected Balanced Growth Portfolio,A,BNS341,2.03,,9.0,4.9,4.3,7.6,-3.2,12.8,9.5,7.6,-10.8,9.4
Scotia Essentials Maximum Growth Portfolio,F,BNS52210,1.37,,,,,,,,,,,12.6
Scotia Canadian Dividend Class,A,BNS1385,1.81,,14.3,0.0,13.6,11.2,-4.0,20.6,-0.1,23.5,-3.1,6.6
Scotia Canadian Balanced Fund,A,BNS378,1.97,,8.7,1.9,9.1,7.8,-3.1,12.2,6.1,13.1,-7.1,7.6
Scotia Canadian Dividend Fund,F,BNS585,0.87,,15.4,0.8,14.7,12.3,-3.1,21.8,0.6,24.7,-2.2,7.5
